data_importazione,titolo,ente,sede,scadenza,classe,valutazione,priorita,score,cv_consigliato,link,stato_followup,data_primo_controllo,note
2026-06-23,AVVISO DI SELEZIONE PUBBLICA PER TITOLI ED ESAMI A N. 1 POSTO A TEMPO INDETERMINATO E PIENO NELL’AREA FUNZIONARI ED ELEVATA QUALIFICAZIONE - PROFILO PROFESSIONALE FUNZIONARIO PROCESSI ORGANIZZATIVI DI SUPPORTO - PROFILO DI COMPETENZA ESPERTO COMUNICAZIONE E MEDIA,DA_VERIFICARE,DA_VERIFICARE,09 Luglio 2026 23:59,EQ_FUNZIONARI,CANDIDARSI,PRIORITA_ALTA,135,cv_eq_comunicazione.md,https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=6e25abd67a3d4101a92b6d1e2089de18,DA_MONITORARE,2026-07-29,
2026-06-23,"Concorso pubblico, per titoli ed esami, per l’assunzione di n. 2 unità di personale con contratto di lavoro subordinato a tempo indeterminato, a tempo pieno, nell’Area dei Funzionari, settore amministrativo-gestionale, di cui n. 1 posto riservato alle categorie di cui al D. Lgs. n. 66/2010, commi 3 e 4 dell’articolo 1014 e comma 9 dell’articolo 678, presso la Divisione Rapporti con mondo del lavoro e territorio della Direzione Comunicazione e Relazioni Esterne dell'Università di Trento",Università di Trento,Trento,07 Luglio 2026 12:00,EQ_FUNZIONARI,CANDIDARSI,PRIORITA_ALTA,105,cv_eq_comunicazione.md,https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=7544c790201d4c2dbe872ecf837c76d3,DA_MONITORARE,2026-07-27,
2026-06-23,"Avviso di selezione pubblica per il conferimento di n. 1 incarico di Dirigente di II fascia a tempo determinato, per un periodo di 24 mesi, rinnovabile, per le esigenze dell’Area Sistemi Informativi dell’Università degli Studi di Pavia (cod. 11-2026-1dir-asi)",Università degli Studi di Pavia,DA_VERIFICARE,17 Luglio 2026 12:00,DIRIGENTE,STUDIARE_SERIAMENTE,PRIORITA_MEDIA,100,cv_eq_digital_governance.md,https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=91a48e88c880493d87dc7b18ce83c0c6,DA_MONITORARE,2026-08-06,
2026-06-23,"Università degli Studi di Trieste – Avviso di mobilità compartimentale e intercompartimentale (ex art. 30 del D.Lgs 165/2001), n. 3 unità di personale a tempo indeterminato, full-time, area funzionari settore amministrativo-gestionale profilo esperto dei processi amministrativi relativi alla ricerca scientifica e della terza missione",Università degli Studi di Trieste,DA_VERIFICARE,09 Luglio 2026 23:59,EQ_FUNZIONARI,CANDIDARSI,PRIORITA_ALTA,90,cv_terza_missione_public_engagement.md,https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=799a754513184878bba05017747b6bf7,DA_MONITORARE,2026-07-29,
2026-06-23,"Selezione pubblica per il conferimento di un incarico dirigenziale a tempo determinato, ex art. 110, comma 1 del D.Lgs 267/2000, da assegnare all’Area Programmazione, bilancio, tributi, partecipazioni, sistemi informativi, innovazione.",DA_VERIFICARE,DA_VERIFICARE,03 Luglio 2026 23:59,DIRIGENTE,STUDIARE,PRIORITA_MEDIA,80,cv_eq_digital_governance.md,https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=3f32655002ca4169ad9ab14517711096,DA_MONITORARE,2026-07-23,
